id,Domain,Status,Attractiveness,Demand,Length,Registrar,Created,Expires
c3e0ea79-aa0a-4a22-a73d-35e06527d5a3,operations.at,sold,58,88,10,Vautron Rechenzentrum AG ( https://nic.at/registrar/610 ),,
ec637588-9d30-4439-8000-1780fee31c30,operations.cloud,premium,58,88,10,,,
bd84e4ec-4ae7-4014-abef-9201df5e7994,operations.co,expiring,58,88,10,"NameSilo, LLC",20/07/2010 18:11,19/07/2025 23:59
1d7ef473-6b5e-4f6f-914a-3ac1303bc618,operations.it,resell,58,88,10,,28/12/2016 09:00,28/12/2025 00:00
08d642eb-8fb9-47fe-801e-8d41678c76bc,operations.space,premium,58,88,10,,,
f97d55fa-c8c4-4660-9fbf-b72f49a8a45f,operations.tech,premium,58,88,10,,,
ef33908f-4824-4330-8704-ef55f4de37ea,operations.xyz,resell,58,88,10,"Spaceship, Inc.",02/06/2014 18:31,02/06/2026 23:59
b0bcdca5-25cc-466a-b5a4-b881744fdece,operations.zone,expiring,58,88,10,RegistryGate GmbH,15/07/2024 10:36,15/07/2025 10:36
b77339d2-83ba-4e67-ac72-f90415841a88,defense.co,expiring,70,88,7,InternetX GmbH,20/07/2010 18:00,19/07/2025 23:59
fbc01b01-608f-49bb-8e9e-4feb5f7c4b02,defense.it,resell,70,88,7,,03/05/2000 00:00,04/09/2025 00:00
c168569d-0a8c-4991-9e0f-257e0dee5d73,defense.pro,resell,70,88,7,"GoDaddy.com, LLC",13/12/2007 00:00,13/12/2025 00:00
c5370590-0cf7-4045-aeec-c2ca87fa105b,defense.site,premium,70,88,7,,,
1d53b0ca-8a2d-4693-9d41-91d490b64a0d,defense.so,expiring,70,88,7,soNIC Reserved,19/01/2011 00:00,10/07/2025 00:00
e45c1867-b863-4c55-8ca4-6c83b79fdfd0,defense.xyz,resell,70,88,7,Dynadot LLC,18/08/2020 08:17,18/08/2030 23:59
d6cc6987-3649-44a7-8a8e-88f7f27a6490,security.at,premium,70,88,8,,,
0a76f5e9-e021-4385-91f6-1fea3b85e98b,security.cloud,premium,70,88,8,,,
4be75790-d104-46c8-ba91-9bc46af54d07,security.co,resell,70,88,8,Dynadot Inc,24/02/2010 22:36,23/02/2026 23:59
4bb5f2c7-89f3-453f-837c-5115993e5419,security.gg,resell,70,88,8,Enrapture Limited (https://enrapture.gg),,
c3ebaa3d-64a7-4fc9-a7b1-e26713b96681,security.online,premium,70,88,8,,,
74b7c158-38b1-4090-853e-41275033f4bf,security.pro,premium,70,88,8,,,
206c826f-ba7f-46d2-b762-ff91f659b21d,security.site,premium,70,88,8,,,
868686d1-59f7-4749-8907-03f1af6986d6,security.space,premium,70,88,8,,,
cca28a89-cc9f-497d-a80f-9927ba151887,security.store,premium,70,88,8,,,
00b0d917-5f44-4ab9-9a24-ef5c424fbf01,security.tech,expiring,70,88,8,Squarespace Domains II LLC,25/07/2022 15:50,25/07/2025 23:59
c35196fd-7b3d-4a36-a823-32afef5e833f,deterrence.app,available,60,80,10,,,
a55165af-801a-4cef-a92e-4c5e4f94583b,deterrence.at,available,60,80,10,,,
e05279ee-0877-450c-9bbc-74a63042ef5f,deterrence.cloud,available,60,80,10,,,
67f818fa-33f9-4501-af8f-7942d568eaba,deterrence.co,premium,60,80,10,,,
f3846499-39e0-4678-aa32-c2a5b8df39a9,deterrence.dev,available,60,80,10,,,
53da402d-6295-4dd3-aaae-3b93d26c7aba,deterrence.expert,available,60,80,10,,,
5c014051-230d-4a7d-8dde-2dd5267c09a9,deterrence.gg,available,60,80,10,,,
e49fbc1f-a154-474e-ae55-32ac4d6fe09a,deterrence.me,available,60,80,10,,,
1e75b36d-aee3-4768-b359-720db37bd00b,deterrence.ninja,available,60,80,10,,,
047e23d7-cd2b-41f9-9f86-196e94589324,deterrence.online,available,60,80,10,,,
0944719c-b34e-455d-bc36-7d1802ab06e7,deterrence.pro,available,60,80,10,,,
d3c17c6a-44bd-4684-8ee8-f9e47b398e44,deterrence.site,available,60,80,10,,,
09aac2a7-e38d-4d10-bfe4-543389adbb11,deterrence.so,available,60,80,10,,,
24dcfb4a-8781-40fd-8734-45b341afcf10,deterrence.store,premium,60,80,10,,,
44f40900-cd81-416c-a161-842d9d0fd580,deterrence.tech,premium,60,80,10,,,
1d77987c-3a71-47d9-888e-3d5b7370d671,deterrence.xyz,resell,60,80,10,"Unstoppable Domains, Inc.",26/02/2025 10:31,26/02/2026 23:59
d28718cd-58f8-48b4-acd1-feed3cdbcbf1,deterrence.zone,available,60,80,10,,,
5a0e6001-ce78-4551-8173-68a536c03d4d,armedforces.app,available,50,80,12,,,
6c9dfb1d-859c-4dd2-af2d-3630f16fa3dc,armedforces.at,sold,50,80,12,dogado GmbH ( https://nic.at/registrar/622 ),,
33bc8413-65f1-440e-9ece-ea2f7ea24df8,armedforces.cloud,resell,50,80,12,GoDaddy,16/02/2016 15:00,16/02/2026 15:00
27351d9b-3b52-4098-86a1-caba92aefb11,armedforces.co,available,50,80,12,,,
8ca99571-d00b-4e38-a8a2-4c11b4cb4d31,armedforces.dev,available,50,80,12,,,
3bf4a984-8680-4610-a7bc-7076f70116a3,armedforces.expert,available,50,80,12,,,
9e23f9d9-cc48-4100-8b8e-d8072ee7daa4,armedforces.gg,available,50,80,12,,,
c288f3ab-7720-41c4-9b64-807e62a9c1c5,armedforces.me,available,50,80,12,,,
783bc835-5a2e-4636-b541-2b2fe691daae,armedforces.ninja,available,50,80,12,,,
ab7148b7-6f6a-44f6-8511-4af69248e003,armedforces.online,available,50,80,12,,,
0a26046b-4c15-45ac-a438-38a4933ccf72,armedforces.pro,available,50,80,12,,,
a952bc80-756b-4ba3-8762-469ba0493e16,armedforces.site,available,50,80,12,,,
79a8d06f-d4ea-4c57-82a5-6440c378f43a,armedforces.so,available,50,80,12,,,
cc40fa12-ca4c-4c8d-8100-d4dcbf7439f0,armedforces.space,available,50,80,12,,,
86578e12-7313-4935-a34b-8de2b9ee4abc,armedforces.store,premium,50,80,12,,,
67c3dcae-3aaa-4f7d-b050-156a9c8b40ec,armedforces.tech,available,50,80,12,,,
